sample_id,source,mode,channel,angle_deg,value
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,55,0.009993731044232845
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,60,0.009695260785520077
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,65,0.009585214778780937
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,70,0.009591544046998024
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,75,0.009631113149225712
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,80,0.009842976927757263
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,85,0.01008128747344017
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,90,0.010411031544208527
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,95,0.010854755528271198
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,100,0.011308712884783745
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,105,0.011783641763031483
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,110,0.012320198118686676
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,115,0.013020659796893597
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,120,0.013711828738451004
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,125,0.014250884763896465
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,130,0.014925324358046055
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,135,0.015449819155037403
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,140,0.015978461131453514
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,145,0.016422051936388016
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,150,0.016649171710014343
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,155,0.01690865121781826
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,160,0.01708901859819889
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,165,0.017004739493131638
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,0,0.013250789605081081
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,5,0.01300633791834116
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,10,0.01260177232325077
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,15,0.01220120582729578
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,20,0.011743477545678616
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,25,0.011369292624294758
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,30,0.010893340222537518
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,35,0.01050338800996542
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,40,0.010046432726085186
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,45,0.009774552658200264
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,50,0.009401736781001091
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,55,0.009221171960234642
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,60,0.009011232294142246
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,65,0.008930832147598267
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,70,0.008940935134887695
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,75,0.008958909660577774
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,80,0.009122989140450954
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,85,0.009286909364163876
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,90,0.009524377062916756
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,95,0.00983049813657999
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,100,0.010149061679840088
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,105,0.010463402606546879
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,110,0.010838988237082958
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,115,0.011333843693137169
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,120,0.011814913712441921
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,125,0.012180302292108536
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,130,0.012647346593439579
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,135,0.013008511625230312
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,140,0.013364582322537899
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,145,0.013653467409312725
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,150,0.013787816278636456
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,155,0.013976371847093105
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,160,0.014111030846834183
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,165,0.014044712297618389
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,0,6.933329132152721e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,5,8.844668627716601e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,10,0.0001263814338017255
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,15,0.00016630331811029464
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,20,0.00021730018488597125
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,25,0.0002694005088414997
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,30,0.0003277638752479106
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,35,0.00037137672188691795
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,40,0.0004018210165668279
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,45,0.0004244372248649597
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,50,0.00042645138455554843
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,55,0.0004109171568416059
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,60,0.0003703488619066775
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,65,0.0003306973085273057
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,70,0.0002765610988717526
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,75,0.00023023613903205842
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,80,0.00016968717682175338
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,85,0.0001282513840124011
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,90,9.957573638530448e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,95,7.308872591238469e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,100,6.253881292650476e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,105,6.209861749084666e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,110,7.024985097814351e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,115,8.849519508657977e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,120,0.0001071879014489241
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,125,0.0001254002272617072
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,130,0.00014221706078387797
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,135,0.00015049711510073394
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,140,0.00015121977776288986
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,145,0.00014057614316698164
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,150,0.000124192752991803
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,155,0.00010798226139741018
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,160,9.128189412876964e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,165,7.411824481096119e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,0,0.00011296650336589664
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,5,0.00014190087676979601
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,10,0.00019885029178112745
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,15,0.00025667017325758934
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,20,0.0003301269025541842
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,25,0.0004077771445736289
