sample_id,sample_type,roi_size_fullres,tile_id,roi_label,tile_x_halfres,tile_y_halfres,tile_width_halfres,tile_height_halfres,tile_valid_fraction,signal,channel,fit_valid,n_valid_angles,a0,a2c,a2s,a4c,a4s,A2,A4,phase2_raw_deg,phase4_raw_deg,axis2_deg,axis4_deg,rmse,nrmse
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Afilm_PPL,G,True,34,0.5040268802571498,-0.09210967241334932,0.07760447593491886,1.1996110673123672e-05,-0.004704395781166312,0.12044354045455458,0.0047044110760568825,139.88510661827118,-89.85389727940333,69.94255330913559,67.53652568014917,0.00177386336264029,0.003519382461768234
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Afilm_PPL,R,True,34,0.49793747196415933,-0.09176110188537281,0.07687939505251856,-0.0001974442561894149,-0.004272783626996589,0.11971023850472852,0.0042773431189737764,140.04301170484294,-92.64574143779444,70.02150585242147,66.8385646405514,0.001967276288626823,0.003950850055254474
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Afilm_PPL,B,True,34,0.471293790833033,-0.07263832546388517,0.0617291633623748,7.681689454600016e-06,-0.00217591472726349,0.09532479182047063,0.0021759282866572202,139.6416063093615,-89.79772803074145,69.82080315468075,67.55056799231464,0.001548894547931052,0.003286473486506208
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Xfilm,G,True,34,0.00023814751518227655,-1.9426081719988022e-05,0.00021734966751863952,-0.00015824199382006128,-2.8133552017828227e-05,0.00021821606407745235,0.00016072344370778074,95.10735948837387,-169.9188256956694,47.55367974418694,47.52029357608265,5.801583342490321e-06,0.024361301077143408
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Xfilm,R,True,34,0.00015881899097141639,-1.4216122200329798e-05,0.00014484293948882062,-0.00010899852459893308,-1.8985792706438595e-05,0.0001455389131819283,0.00011063967954326367,95.60554313064551,-170.11912806662627,47.80277156532276,47.47021798334343,4.257949714680329e-06,0.0268100789573495
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Xfilm,B,True,34,0.00017373489855354625,-1.1110196187422895e-05,0.00014365598386729058,-0.00010747731276067282,-1.912807368411389e-05,0.00014408496854357252,0.00010916618506259333,94.42238952656712,-169.90855246901148,47.21119476328356,47.52286188274713,3.6534084425904615e-06,0.02102863875927506
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Xnorm_sample,G,True,34,0.019523612397779166,-0.004569746407285923,0.020163744723312945,-0.013376692113937105,-0.004601290405607586,0.02067508605771287,0.014145945189622486,102.76934420587902,-161.01790009600288,51.38467210293951,49.74552497599928,0.001498700244475766,0.07676347050249172
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Xnorm_sample,R,True,34,0.01982647576883557,-0.00474144588159614,0.020400081762651102,-0.013963819572965434,-0.004694033173912703,0.020943845037885357,0.014731673513356367,103.08454101004418,-161.4195782620569,51.54227050502209,49.64510543448578,0.0015621007603989273,0.07878862479309315
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Xnorm_sample,B,True,34,0.01588506078324595,-0.0029209142805022154,0.014625595275941851,-0.010127030205220298,-0.0030983153807622363,0.01491441508774965,0.010590387102278751,101.29409293743453,-162.9887649775875,50.647046468717264,49.25280875560313,0.0008939419703438665,0.05627564052071087
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Xnorm_blank,G,True,34,0.005656216591105846,-0.00042409677259291857,0.004876815763247777,-0.0037391593519229935,-0.0007624756387775044,0.004895221145278906,0.0038161081953742276,94.97004199464345,-168.47447229019252,47.485020997321726,47.88138192745187,0.00011117841227633006,0.019655967989538677
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Xnorm_blank,R,True,34,0.0058270997744552305,-0.00048554810777647625,0.0049945226251226806,-0.0039759325673957855,-0.0008025617219111747,0.00501806867408445,0.004056124393797048,95.55262463996569,-168.58791026838009,47.77631231998284,47.85302243290498,0.00012583159353753422,0.021594206103619337
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,0,ROI_C,363,139,64,64,1.0,Xnorm_blank,B,True,34,0.0051032032904522176,-0.000279415998139871,0.003952982117468299,-0.00313720149774419,-0.0006459579936261033,0.003962845053877411,0.003203013419731152,94.04321947567429,-168.36525225746587,47.021609737837146,47.90868693563353,8.886370560594731e-05,0.017413318758982728
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Afilm_PPL,G,True,34,0.5039084775362028,-0.09499316814492689,0.07513312352166637,6.901134872956682e-05,-0.0051633027328645345,0.12111436019040983,0.005163763906053398,141.65840459512864,-89.2342452504535,70.82920229756432,67.69143868738662,0.0017178854205328006,0.003409121888420644
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Afilm_PPL,R,True,34,0.4977811733005389,-0.09441446075246349,0.07458056791024426,0.00011766522609436836,-0.004697989048505394,0.12031771070375726,0.004699462331512878,141.6938263364361,-88.56527726493661,70.84691316821805,67.85868068376584,0.0018792419872561616,0.0037752371685575597
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Afilm_PPL,B,True,34,0.4710007161472368,-0.07524896840877168,0.05964566659696546,0.00010718212678358097,-0.0027516685839880373,0.09602089767535336,0.0027537552549942745,141.5980971352433,-87.76936054572043,70.79904856762165,68.0576598635699,0.0015623458274633874,0.0033170773926629754
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Xfilm,G,True,34,0.0002391931780162137,-2.2708055685936033e-05,0.00021596705451491774,-0.00015277735854542126,-3.37137256871036e-05,0.00021715760274253586,0.00015645298521863198,96.00236252874532,-167.55584693899917,48.00118126437266,48.11103826525021,5.715989661465763e-06,0.023896959290291068
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Xfilm,R,True,34,0.0001591568376878148,-1.6288053663927174e-05,0.00014374722807737603,-0.00010509051607803649,-2.3045056066127456e-05,0.00014466708772933854,0.00010758759769898668,96.46463389092615,-167.6315157483395,48.232316945463076,48.092121062915126,4.189930666552093e-06,0.026325797251920902
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Xfilm,B,True,34,0.00017496007093926696,-1.3025649343821597e-05,0.00014261690623010225,-0.00010389846146595082,-2.2705406542872016e-05,0.000143210507587516,0.00010635048557138216,95.21852485198376,-167.67269231456106,47.60926242599188,48.081826921359735,3.731913950528522e-06,0.021330089255015644
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Xnorm_sample,G,True,34,0.01960114790891861,-0.005054698442894108,0.020093995096368847,-0.01290728396547505,-0.0051105753372884845,0.020720005195016034,0.013882217389290179,104.11994211564848,-158.39915538623958,52.05997105782424,50.400211153440104,0.0015275715704481632,0.0779327607479141
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Xnorm_sample,R,True,34,0.019891608957554405,-0.005214956691601116,0.020359856472304826,-0.013474100772207672,-0.005247205343679803,0.021017124657481765,0.014459756413520571,104.36681959130934,-158.7226195229826,52.18340979565467,50.31934511925435,0.0015883181469174518,0.07984865126932802
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Xnorm_sample,B,True,34,0.015961626760595097,-0.0032760235885505203,0.0145634492705142,-0.009786708069532777,-0.003467159204699551,0.014927370337992556,0.010382718708940872,102.677565625317,-160.49217582310337,51.3387828126585,49.87695604422416,0.0009304367168342054,0.05829209833880515
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Xnorm_blank,G,True,34,0.005678943884133994,-0.0005255293265218116,0.004889921314512654,-0.0036276646266501086,-0.0008871580980681057,0.004918080065956595,0.003734568266134158,96.13414394117468,-166.25783548025726,48.06707197058734,48.435541129935686,0.0001165891167710306,0.02053007022595006
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,pg2tt,550,1,ROI_C,395,139,64,64,1.0,Xnorm_blank,R,True,34,0.005846648629976597,-0.0005862149271004453,0.005018410987280609,-0.003858538228111978,-0.0009442509838571807,0.005052533698849926,0.003972395647253276,96.6626885424491,-166.2489816551134,48.33134427122455,48.43775458622165,0.00013097371973860042,0.02240150349461366
