sample_id,source,mode,channel,fit_valid,n_valid_angles,a0,a2c,a2s,a4c,a4s,A2,A4,axis2_deg,axis4_deg,rmse,nrmse
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,B,True,34,0.03286531997787106,3.141546163899285e-05,-6.960170858566418e-05,1.0476993968308145e-05,4.618682486762584e-05,7.636313945900045e-05,4.736021741889184e-05,57.14626805234162,19.30483544527817,5.914590179616073e-05,0.1555502367925974
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,G,True,34,0.04055944191981482,5.893042624311878e-05,-8.949389955762382e-05,1.317115972699994e-05,6.0814797671067413e-05,0.00010715387624918532,6.22247463982539e-05,61.682160179213646,19.444929654013325,7.354489532008093e-05,0.14831385704844258
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,True,34,0.026192836305124836,2.9587310188396974e-05,-6.047631618388946e-05,1.0031561457997908e-05,4.111661975389691e-05,6.732602575050892e-05,4.232267294574073e-05,58.0348178506448,19.072234654219443,4.965859621480178e-05,0.15327095145784445
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,XPL,B,True,34,3.762315800024154e-05,9.359541639154954e-08,2.775273380401585e-07,-1.6974508416715433e-07,3.153354736888956e-08,2.928848328766172e-07,1.7264923460177954e-07,35.68172358394132,42.36903223625715,8.586415287047145e-07,0.2450616660234889
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,XPL,G,True,34,3.836641703955635e-05,9.390558457278874e-08,3.1419412201614657e-07,-2.771908557528144e-07,1.4529789359959589e-08,3.2792713386277503e-07,2.7757140575322657e-07,36.679886475978435,44.24985404734252,8.461050955609939e-07,0.2399700343612672
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,XPL,R,True,34,2.3685124574329287e-05,-2.968478956764372e-07,2.5246023412883554e-07,6.396961776554782e-08,-8.01935332721098e-08,3.896855693811555e-07,1.025822342110722e-07,69.80991644503325,32.14475768709097,8.418781539937812e-07,0.25683112563579874
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,B,True,34,0.011402602955990397,0.0019350992528560863,-0.0016451005192907515,2.7604978081889218e-05,-7.560422420991263e-05,0.002539874964830923,8.0486231948603e-05,69.8154443547553,27.51459808311152,4.245304312953538e-05,0.008195253810591713
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,G,True,34,0.013148410204308262,0.0028144132096763323,-0.0023801418941531882,4.544716141804896e-05,-0.0001287681545823181,0.0036859187662106395,0.00013655285465889744,69.88944307627926,27.359966909626856,5.7152947363245995e-05,0.007616530061106951
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,PPL,R,True,34,0.008592996749580063,0.001824133153089472,-0.0015315414515417471,3.2057993314549586e-05,-7.572421784982997e-05,0.002381823036665558,8.223060321026603e-05,69.99159708742606,28.236365845634122,3.5580784336241356e-05,0.007356210771504071
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,True,34,0.0002113712587242893,-1.141572303235824e-05,0.00013147803581661153,-0.00010001206400727934,-1.8619385357266604e-05,0.0001319726965494973,0.0001017304991537864,47.481161610523756,2.6365248542260105,3.095697058528409e-06,0.008660791777344695
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,True,34,0.00027674579895289967,-1.956209140712521e-05,0.00020113653940201766,-0.0001479417113250867,-2.841079068255719e-05,0.0002020855831147787,0.00015064502307412405,47.777494363072215,2.7176899354064403,4.784427426194193e-06,0.008909498908102473
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,R,True,34,0.00018308152588262654,-1.420547058844857e-05,0.0001343413115777742,-0.0001023039089323332,-1.9754466015324587e-05,0.00013509027866976915,0.00010419370763335825,48.018059582115924,2.732267853365464,3.3272814655463954e-06,0.009132032926088733
